country,year,health_spending
AT,2013,3509.3
AT,2014,3571.85
AT,2015,3650.39
AT,2016,3717.11
AT,2017,3790.16
AT,2018,3890.73
AT,2019,4004.4
AT,2020,4094.71
AT,2021,4789.04
AT,2022,4834.15
AT,2023,4900.58
AT,2024,5192.14
BE,2013,3293.27
BE,2014,3382.42
BE,2015,3547.85
BE,2016,3570.8
BE,2017,3656.97
BE,2018,3773.38
BE,2019,3868.81
BE,2020,3965.51
BE,2021,4204.69
BE,2022,4335.65
BE,2023,4569.83
BG,2013,471.87
BG,2014,538.11
BG,2015,553.04
BG,2016,598.27
BG,2017,634.01
BG,2018,659.67
BG,2019,682.09
BG,2020,795.35
BG,2021,931.82
BG,2022,956.83
BG,2023,1065.79
CY,2013,1478.4
CY,2014,1470.58
CY,2015,1501.73
CY,2016,1591.15
CY,2017,1672.57
CY,2018,1794.65
CY,2019,1946.66
CY,2020,2270.04
CY,2021,2593.72
CY,2022,2711.29
CY,2023,2795.06
CZ,2013,1743.95
CZ,2014,1876.44
CZ,2015,1900.28
CZ,2016,1967.49
CZ,2017,2079.85
CZ,2018,2179.29
CZ,2019,2323.57
CZ,2020,2665.69
CZ,2021,2862.74
CZ,2022,2758.61
CZ,2023,2925.23
CZ,2024,3103.66
DE,2013,3619.9
DE,2014,3755.95
DE,2015,3863.8
DE,2016,3997.47
DE,2017,4183.99
DE,2018,4357.61
DE,2019,4516.45
DE,2020,4790.13
DE,2021,5198.2
DE,2022,5431.61
DE,2023,5413.7
DE,2024,5795.79
DK,2013,3321.02
DK,2014,3364.55
DK,2015,3462.76
DK,2016,3470.23
DK,2017,3601.38
DK,2018,3701.62
DK,2019,3765.11
DK,2020,3998.24
DK,2021,4434.97
DK,2022,4181.42
DK,2023,4173.35
DK,2024,4367.47
EE,2013,1253.3
EE,2014,1332.84
EE,2015,1421.52
EE,2016,1484.5
EE,2017,1550.64
EE,2018,1649.03
EE,2019,1739.7
EE,2020,1900.51
EE,2021,2037.5
EE,2022,1989.21
EE,2023,2144.9
EE,2024,2337.6
EL,2013,1532.11
EL,2014,1471.78
EL,2015,1555.24
EL,2016,1599.01
EL,2017,1585.41
EL,2018,1614.59
EL,2019,1652.35
EL,2020,1726.07
EL,2021,1879.31
EL,2022,1993.8
EL,2023,2191.37
ES,2013,2055.41
ES,2014,2120.45
ES,2015,2244.74
ES,2016,2264.43
ES,2017,2373.49
ES,2018,2428.11
ES,2019,2544.04
ES,2020,2599.36
ES,2021,2826.19
ES,2022,2978.06
ES,2023,3136.97
FI,2013,2886.29
FI,2014,2894.93
FI,2015,2924.86
FI,2016,2905.61
FI,2017,2969.12
FI,2018,3020.65
FI,2019,3101.59
FI,2020,3230.65
FI,2021,3460.96
FI,2022,3619.22
FI,2023,3995.48
FR,2013,3361.78
FR,2014,3405.5
FR,2015,3441.54
FR,2016,3511.67
FR,2017,3545.77
FR,2018,3575.34
FR,2019,3678.22
FR,2020,3820.69
FR,2021,4102.73
FR,2022,4206.65
FR,2023,4359.86
FR,2024,4556.87
HR,2013,1015.76
HR,2014,1064.58
HR,2015,1129.5
HR,2016,1205.79
HR,2017,1267.1
HR,2018,1345.56
HR,2019,1429.74
HR,2020,1505.75
HR,2021,1865.96
HR,2022,1867.55
HR,2023,2032.28
HU,2013,1339.47
HU,2014,1368.59
HU,2015,1391.9
HU,2016,1423.8
HU,2017,1416.61
HU,2018,1480.03
HU,2019,1494.63
HU,2020,1701.2
HU,2021,1892.42
HU,2022,1891.57
HU,2023,1924.71
HU,2024,2050.3
IE,2013,3135.78
IE,2014,3059.68
IE,2015,3156.77
IE,2016,3233.08
IE,2017,3303.95
IE,2018,3400.57
IE,2019,3481.78
IE,2020,3654.76
IE,2021,3990.91
IE,2022,4236.2
IE,2023,4473.82
IE,2024,4799.23
IT,2013,2245.53
IT,2014,2249.14
IT,2015,2289.82
IT,2016,2349.18
IT,2017,2413.66
IT,2018,2461.76
IT,2019,2528.03
IT,2020,2619.53
IT,2021,2828.42
IT,2022,2978.38
IT,2023,3086.21
IT,2024,3199.32
LT,2013,1218.57
LT,2014,1301.72
LT,2015,1401.45
LT,2016,1480.71
LT,2017,1563.53
LT,2018,1661.39
LT,2019,1898.62
LT,2020,2011.42
LT,2021,2310.27
LT,2022,2316.29
LT,2023,2414.94
LT,2024,2635.33
LU,2013,3402.5
LU,2014,3444.75
LU,2015,3437.52
LU,2016,3452.81
LU,2017,3514.1
LU,2018,3691.42
LU,2019,3741.21
LU,2020,3810.79
LU,2021,4126.51
LU,2022,4302.86
LU,2023,4566.95
LU,2024,4971.55
LV,2013,902.37
LV,2014,941.48
LV,2015,1029.04
LV,2016,1142.69
LV,2017,1180.8
LV,2018,1298.09
LV,2019,1436.47
LV,2020,1563.31
LV,2021,2242.32
LV,2022,2033.58
LV,2023,1970.86
MT,2014,2186.58
MT,2015,2360.06
MT,2016,2448.49
MT,2017,2578.77
MT,2018,2635.06
MT,2019,2958.11
MT,2020,3026.31
MT,2021,3322.31
MT,2022,3363.1
MT,2023,3562.59
NL,2013,3613.28
NL,2014,3611.26
NL,2015,3609.53
NL,2016,3608.22
NL,2017,3700.57
NL,2018,3824.1
NL,2019,3932.68
NL,2020,4238.31
NL,2021,4694.01
NL,2022,4718.77
NL,2023,4848.1
NL,2024,5210.04
PL,2013,1226.06
PL,2014,1234.64
PL,2015,1320.52
PL,2016,1379.58
PL,2017,1452.91
PL,2018,1469.47
PL,2019,1591.86
PL,2020,1632.82
PL,2021,1765.45
PL,2022,1967.06
PL,2023,2240.33
PL,2024,2657.58
PT,2013,1834.68
PT,2014,1853.78
PT,2015,1926.36
PT,2016,1987.37
PT,2017,2039.27
PT,2018,2175.42
PT,2019,2268.81
PT,2020,2312.19
PT,2021,2699.35
PT,2022,2884.01
PT,2023,3000.67
PT,2024,3211.29
RO,2013,759.54
RO,2014,766.81
RO,2015,796.57
RO,2016,885.77
RO,2017,995.87
RO,2018,1157.44
RO,2019,1311.34
RO,2020,1442.91
RO,2021,1645.78
RO,2022,1612.63
RO,2023,1775.64
SI,2014,1828.92
SI,2015,1889.55
SI,2016,1938.86
SI,2017,1995.21
SI,2018,2124.08
SI,2019,2286.71
SI,2020,2443.22
SI,2021,2697.37
SI,2022,2955.73
SI,2023,3120.92
SI,2024,3417.14
SK,2013,1580.43
SK,2014,1471.06
SK,2015,1508.49
SK,2016,1444.19
SK,2017,1390.74
SK,2018,1401.34
SK,2019,1519.28
SK,2020,1592.95
SK,2021,1874.57
SK,2022,1962.55
SK,2023,2088.17
